Country_ID ,Country_Name                   ,Region      ,Status
         1 ,Abkhazia                       ,Eurasia     ,PF
         2 ,Afghanistan                    ,Asia        ,NF
         3 ,Albania                        ,Europe      ,PF
         4 ,Algeria                        ,Africa      ,NF
         5 ,Andorra                        ,Europe      ,F
         6 ,Angola                         ,Africa      ,NF
         7 ,Antigua and Barbuda            ,Americas    ,F
         8 ,Argentina                      ,Americas    ,F
         9 ,Armenia                        ,Eurasia     ,PF
        10 ,Australia                      ,Asia        ,F
        11 ,Austria                        ,Europe      ,F
        12 ,Azerbaijan                     ,Eurasia     ,NF
        13 ,Bahamas                        ,Americas    ,F
        14 ,Bahrain                        ,Middle East ,NF
        15 ,Bangladesh                     ,Asia        ,PF
        16 ,Barbados                       ,Americas    ,F
        17 ,Belarus                        ,Eurasia     ,NF
        18 ,Belgium                        ,Europe      ,F
        19 ,Belize                         ,Americas    ,F
        20 ,Benin                          ,Africa      ,PF
        21 ,Bhutan                         ,Asia        ,PF
        22 ,Bolivia                        ,Americas    ,PF
        23 ,Bosnia and Herzegovina         ,Europe      ,PF
        24 ,Botswana                       ,Africa      ,F
        25 ,Brazil                         ,Americas    ,F
        26 ,Brunei                         ,Asia        ,NF
        27 ,Bulgaria                       ,Europe      ,F
        28 ,Burkina Faso                   ,Africa      ,NF
        29 ,Burundi                        ,Africa      ,NF
        30 ,Cabo Verde                     ,Africa      ,F
        31 ,Cambodia                       ,Asia        ,NF
        32 ,Cameroon                       ,Africa      ,NF
        33 ,Canada                         ,Americas    ,F
        34 ,Central African Republic       ,Africa      ,NF
        35 ,Chad                           ,Africa      ,NF
        36 ,Chile                          ,Americas    ,F
        37 ,China                          ,Asia        ,NF
        38 ,Colombia                       ,Americas    ,F
        39 ,Comoros                        ,Africa      ,PF
        40 ,Congo (Brazzaville)            ,Africa      ,NF
        41 ,Congo (Kinshasa)               ,Africa      ,NF
        42 ,Costa Rica                     ,Americas    ,F
        43 ,Cote d'Ivoire                  ,Africa      ,PF
        44 ,Crimea                         ,Eurasia     ,NF
        45 ,Croatia                        ,Europe      ,F
        46 ,Cuba                           ,Americas    ,NF
        47 ,Cyprus                         ,Europe      ,F
        48 ,Czech Republic                 ,Europe      ,F
        49 ,Denmark                        ,Europe      ,F
        50 ,Djibouti                       ,Africa      ,NF
        51 ,Dominica                       ,Americas    ,F
        52 ,Dominican Republic             ,Americas    ,PF
        53 ,Eastern Donbas                 ,Eurasia     ,NF
        54 ,Ecuador                        ,Americas    ,PF
        55 ,Egypt                          ,Africa      ,NF
        56 ,El Salvador                    ,Americas    ,PF
        57 ,Equatorial Guinea              ,Africa      ,NF
        58 ,Eritrea                        ,Africa      ,NF
        59 ,Estonia                        ,Europe      ,F
        60 ,Eswatini                       ,Africa      ,NF
        61 ,Ethiopia                       ,Africa      ,NF
        62 ,Fiji                           ,Asia        ,PF
        63 ,Finland                        ,Europe      ,F
        64 ,France                         ,Europe      ,F
        65 ,Gabon                          ,Africa      ,NF
        66 ,Gaza Strip                     ,Middle East ,NF
        67 ,Georgia                        ,Eurasia     ,PF
        68 ,Germany                        ,Europe      ,F
        69 ,Ghana                          ,Africa      ,F
        70 ,Greece                         ,Europe      ,F
        71 ,Grenada                        ,Americas    ,F
        72 ,Guatemala                      ,Americas    ,PF
