Rating_ID ,Country_ID ,Year ,PR_Rating ,CL_Rating ,Total_Score
        1 ,         1 ,2024 ,        5 ,        5 ,39
        2 ,         1 ,2023 ,        5 ,        5 ,39
        3 ,         1 ,2022 ,        5 ,        5 ,40
        4 ,         1 ,2021 ,        5 ,        5 ,40
        5 ,         1 ,2020 ,        5 ,        5 ,40
        6 ,         1 ,2019 ,        4 ,        5 ,41
        7 ,         1 ,2018 ,        4 ,        5 ,41
        8 ,         1 ,2017 ,        4 ,        5 ,41
        9 ,         1 ,2016 ,        4 ,        5 ,42
       10 ,         1 ,2015 ,        4 ,        5 ,41
       11 ,         1 ,2014 ,        4 ,        5 ,40
       12 ,         1 ,2013 ,        4 ,        5 ,40
       13 ,         2 ,2024 ,        7 ,        7 ,6
       14 ,         2 ,2023 ,        7 ,        7 ,8
       15 ,         2 ,2022 ,        7 ,        6 ,10
       16 ,         2 ,2021 ,        5 ,        6 ,27
       17 ,         2 ,2020 ,        5 ,        6 ,27
       18 ,         2 ,2019 ,        5 ,        6 ,27
       19 ,         2 ,2018 ,        5 ,        6 ,26
       20 ,         2 ,2017 ,        6 ,        6 ,24
       21 ,         2 ,2016 ,        6 ,        6 ,24
       22 ,         2 ,2015 ,        6 ,        6 ,24
       23 ,         2 ,2014 ,        6 ,        6 ,26
       24 ,         2 ,2013 ,        6 ,        6 ,27
       25 ,         3 ,2024 ,        3 ,        3 ,68
       26 ,         3 ,2023 ,        3 ,        3 ,67
       27 ,         3 ,2022 ,        3 ,        3 ,67
       28 ,         3 ,2021 ,        3 ,        3 ,66
       29 ,         3 ,2020 ,        3 ,        3 ,67
       30 ,         3 ,2019 ,        3 ,        3 ,68
       31 ,         3 ,2018 ,        3 ,        3 ,68
       32 ,         3 ,2017 ,        3 ,        3 ,68
       33 ,         3 ,2016 ,        3 ,        3 ,67
       34 ,         3 ,2015 ,        3 ,        3 ,67
       35 ,         3 ,2014 ,        3 ,        3 ,67
       36 ,         3 ,2013 ,        3 ,        3 ,63
       37 ,         4 ,2024 ,        6 ,        5 ,32
       38 ,         4 ,2023 ,        6 ,        5 ,32
       39 ,         4 ,2022 ,        6 ,        5 ,32
       40 ,         4 ,2021 ,        6 ,        5 ,32
       41 ,         4 ,2020 ,        6 ,        5 ,34
       42 ,         4 ,2019 ,        6 ,        5 ,34
       43 ,         4 ,2018 ,        6 ,        5 ,35
       44 ,         4 ,2017 ,        6 ,        5 ,35
       45 ,         4 ,2016 ,        6 ,        5 ,35
       46 ,         4 ,2015 ,        6 ,        5 ,34
       47 ,         4 ,2014 ,        6 ,        5 ,34
       48 ,         4 ,2013 ,        6 ,        5 ,35
       49 ,         5 ,2024 ,        1 ,        1 ,93
       50 ,         5 ,2023 ,        1 ,        1 ,93
       51 ,         5 ,2022 ,        1 ,        1 ,93
       52 ,         5 ,2021 ,        1 ,        1 ,93
       53 ,         5 ,2020 ,        1 ,        1 ,94
       54 ,         5 ,2019 ,        1 ,        1 ,94
       55 ,         5 ,2018 ,        1 ,        1 ,96
       56 ,         5 ,2017 ,        1 ,        1 ,95
       57 ,         5 ,2016 ,        1 ,        1 ,96
       58 ,         5 ,2015 ,        1 ,        1 ,96
       59 ,         5 ,2014 ,        1 ,        1 ,96
       60 ,         5 ,2013 ,        1 ,        1 ,96
       61 ,         6 ,2024 ,        6 ,        5 ,28
       62 ,         6 ,2023 ,        6 ,        5 ,28
       63 ,         6 ,2022 ,        6 ,        5 ,30
       64 ,         6 ,2021 ,        6 ,        5 ,31
       65 ,         6 ,2020 ,        6 ,        5 ,32
       66 ,         6 ,2019 ,        6 ,        5 ,31
       67 ,         6 ,2018 ,        6 ,        6 ,26
       68 ,         6 ,2017 ,        6 ,        6 ,24
       69 ,         6 ,2016 ,        6 ,        6 ,24
       70 ,         6 ,2015 ,        6 ,        5 ,28
       71 ,         6 ,2014 ,        6 ,        5 ,29
       72 ,         6 ,2013 ,        6 ,        5 ,30
       73 ,         7 ,2024 ,        2 ,        2 ,85
       74 ,         7 ,2023 ,        2 ,        2 ,85
       75 ,         7 ,2022 ,        2 ,        2 ,85
       76 ,         7 ,2021 ,        2 ,        2 ,85
       77 ,         7 ,2020 ,        2 ,        2 ,85
       78 ,         7 ,2019 ,        2 ,        2 ,84
       79 ,         7 ,2018 ,        2 ,        2 ,83
       80 ,         7 ,2017 ,        2 ,        2 ,83
       81 ,         7 ,2016 ,        2 ,        2 ,82
       82 ,         7 ,2015 ,        2 ,        2 ,80
       83 ,         7 ,2014 ,        2 ,        2 ,80
       84 ,         7 ,2013 ,        2 ,        2 ,80
       85 ,         8 ,2024 ,        2 ,        2 ,85
       86 ,         8 ,2023 ,        2 ,        2 ,85
       87 ,         8 ,2022 ,        2 ,        2 ,84
       88 ,         8 ,2021 ,        2 ,        2 ,84
       89 ,         8 ,2020 ,        2 ,        2 ,85
       90 ,         8 ,2019 ,        2 ,        2 ,84
       91 ,         8 ,2018 ,        2 ,        2 ,83
       92 ,         8 ,2017 ,        2 ,        2 ,82
       93 ,         8 ,2016 ,        2 ,        2 ,79
       94 ,         8 ,2015 ,        2 ,        2 ,80
       95 ,         8 ,2014 ,        2 ,        2 ,80
       96 ,         8 ,2013 ,        2 ,        2 ,80
       97 ,         9 ,2024 ,        4 ,        4 ,54
       98 ,         9 ,2023 ,        4 ,        4 ,54
       99 ,         9 ,2022 ,        4 ,        4 ,55
      100 ,         9 ,2021 ,        4 ,        4 ,55
      101 ,         9 ,2020 ,        4 ,        4 ,53
      102 ,         9 ,2019 ,        4 ,        4 ,51
      103 ,         9 ,2018 ,        5 ,        4 ,45
      104 ,         9 ,2017 ,        5 ,        4 ,45
      105 ,         9 ,2016 ,        5 ,        4 ,46
